Round Robin
Torneo:,Torneo 2022
Organizador:,FIDE
Fecha de inicio:,sábado 17 de junio de 2023
Fecha de fin:,martes 4 de julio de 2023
Torneo de candidatos 2022
Núm.,Nombre,Puntaje
2,Teimour Radjabov,0.0
6,Hikaru Nakamura,0.0
4,Alireza Firouzja,0.0
7,Richárd Rapport,0.0
8,Ding Liren,0.0
5,Fabiano Caruana,0.0
1,Yan Nepómniashchi,0.0
3,Jan-Krzysztof Duda,0.0



Ronda 1
Núm.,blancas,VS,Núm.,negras,Fecha del encuentro
2,Teimour Radjabov,vs,3,Jan-Krzysztof Duda,sábado 17 de junio de 2023
6,Hikaru Nakamura,vs,1,Yan Nepómniashchi,sábado 17 de junio de 2023
4,Alireza Firouzja,vs,5,Fabiano Caruana,sábado 17 de junio de 2023
7,Richárd Rapport,vs,8,Ding Liren,sábado 17 de junio de 2023
