Round Robin
Torneo:,Torneo 2022
Organizador:,FIDE
Fecha de inicio:,viernes 17 de junio de 2022
Fecha de fin:,martes 4 de julio de 2023
Torneo de candidatos 2022
Núm.,Nombre,Puntaje
2,Yan Nepómniashchi,0.0
4,Alireza Firouzja,0.0
8,Fabiano Caruana,0.0
7,Richárd Rapport,0.0
3,Hikaru Nakamura,0.0
6,Teimour Radjabov,0.0
1,Jan-Krzysztof Duda,0.0
5,Ding Liren,0.0



Ronda 1
Núm.,blancas,VS,Núm.,negras,Fecha del encuentro
2,Yan Nepómniashchi,vs,5,Ding Liren,viernes 17 de junio de 2022
4,Alireza Firouzja,vs,1,Jan-Krzysztof Duda,viernes 17 de junio de 2022
8,Fabiano Caruana,vs,6,Teimour Radjabov,viernes 17 de junio de 2022
7,Richárd Rapport,vs,3,Hikaru Nakamura,viernes 17 de junio de 2022
